nome_do_anuncio,nome_do_conjunto_de_anuncios,identificacao_da_campanha,veiculacao_do_anuncio,alcance,impressoes,frequencia,tipo_de_resultado,resultados,custo_por_resultado,valor_gasto_brl,cpm_custo_por_1_000_impressoes,cliques_no_link,cpc_custo_por_clique_no_link,ctr_taxa_de_cliques_no_link,inicio_dos_relatorios,termino_dos_relatorios,termino
Default Name - Instalações do aplicativo,Instalações iOS - NORTE,23842710799490620,not_delivering,24105,31901,1.3234183779299,Instalações do aplicativo para celular,7,35.714285714286,250,7.83674493,61,4.09836066,0.19121657628288,2017-08-13,2019-02-15,43145
Default Name - Instalações do aplicativo,Instalações iOS - NORTE,23842710799490620,not_delivering,24105,31901,1.3234183779299,Instalações do aplicativo para celular,7,35.714285714286,250,7.83674493,61,4.09836066,0.19121657628288,2017-08-13,2019-02-15,43145
Default Name - Instalações do aplicativo,Instalações iOS - NORTE,23842710799490620,not_delivering,24105,31901,1.3234183779299,Instalações do aplicativo para celular,7,35.714285714286,250,7.83674493,61,4.09836066,0.19121657628288,2017-08-13,2019-02-15,43145
Default Name - Instalações do aplicativo,Instalações iOS - NORTE,23842710799490620,not_delivering,24105,31901,1.3234183779299,Instalações do aplicativo para celular,7,35.714285714286,250,7.83674493,61,4.09836066,0.19121657628288,2017-08-13,2019-02-15,43145
Default Name - Instalações do aplicativo,Instalações iOS - NORTE,23842710799490620,not_delivering,24105,31901,1.3234183779299,Instalações do aplicativo para celular,7,35.714285714286,250,7.83674493,61,4.09836066,0.19121657628288,2017-08-13,2019-02-15,43169
Default Name - Instalações do aplicativo,Instalações iOS - NORTE,23842710799490620,not_delivering,24105,31901,1.3234183779299,Instalações do aplicativo para celular,7,35.714285714286,250,7.83674493,61,4.09836066,0.19121657628288,2017-08-13,2019-02-15,43176
Tráfego iOS,Tráfego iOS,23842719275370620,not_delivering,21892,62166,2.8396674584323,Cliques no link,316,0.79113924050633,250,4.02149085,316,0.79113924,0.50831644307178,2017-08-13,2019-02-15,43151
Default Name - Instalações do aplicativo,Instalações iOS - NE,23842710795710620,not_delivering,18767,25232,1.3444876645175,Instalações do aplicativo para celular,12,20.833333333333,250,9.90805327,34,7.35294118,0.13474952441344,2017-08-13,2019-02-15,42978
Default Name - Instalações do aplicativo,Instalações iOS - NE,23842710795710620,not_delivering,18767,25232,1.3444876645175,Instalações do aplicativo para celular,12,20.833333333333,250,9.90805327,34,7.35294118,0.13474952441344,2017-08-13,2019-02-15,43145
Default Name - Instalações do aplicativo,Instalações iOS - NE,23842710795710620,not_delivering,18767,25232,1.3444876645175,Instalações do aplicativo para celular,12,20.833333333333,250,9.90805327,34,7.35294118,0.13474952441344,2017-08-13,2019-02-15,43145
