text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,tipo_mensagem,entidade_que_respondeu,alerta_encaminhado_obra
"Veja a resposta que a Prefeitura Municipal de Arara - PB deu ao alerta da obra ""656817 - Esc. Educ. Infantil - Tipo… https://t.co/ia0yeouSbK",FALSE,0,,2018-12-17T16:44:24Z,TRUE,,1074706891362746368,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Arara - PB ,
"Veja a resposta que a Prefeitura Municipal de Fazenda Rio Grande - PR deu ao alerta da obra ""ESCOLA MUNICIPAL GREEN… https://t.co/GJoGc9NG1E",FALSE,0,,2018-12-17T16:38:47Z,TRUE,,1074705478561816579,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Fazenda Rio Grande - PR ,
"Veja a resposta que a Prefeitura Municipal de Oliveira dos Brejinhos - BA deu ao alerta da obra ""PAC 2 - CRECHE/PRÉ… https://t.co/x6KTxCvVNy",FALSE,0,,2018-12-17T16:38:37Z,TRUE,,1074705436979400704,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Oliveira dos Brejinhos - BA ,
"Veja a resposta que a Prefeitura Municipal de Sete Lagoas - MG deu ao alerta da obra ""CRECHE JARDIM DOS PEQUIS"":… https://t.co/b6ukYH4x3y",FALSE,0,,2018-12-17T16:38:15Z,TRUE,,1074705343698079744,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Sete Lagoas - MG ,
"Veja a resposta que a Prefeitura Municipal de Goianápolis - GO deu ao alerta da obra ""702335 - Esc. Educ. Infantil… https://t.co/NsRTSU9jQ8",FALSE,0,,2018-12-17T16:34:52Z,TRUE,,1074704492145373184,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Goianápolis - GO ,
"Veja a resposta que a Prefeitura Municipal de Prata - MG deu ao alerta da obra ""PAC 2 - CRECHE/PRÉ-ESCOLA  002"":… https://t.co/cliNs7DFmH",FALSE,0,,2018-12-17T16:27:38Z,TRUE,,1074702671200874496,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Prata - MG ,
"Veja a resposta que a Prefeitura Municipal de Mamborê - PR deu ao alerta da obra ""Substituição da Escola Barzotto -… https://t.co/l0wshWJYZS",FALSE,0,,2018-12-17T16:24:12Z,TRUE,,1074701807694286850,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Mamborê - PR ,
"Veja a resposta que a Prefeitura Municipal de Monte do Carmo - TO deu ao alerta da obra ""CRECHE MONTE"": https://t.co/vxk8oQRmh5 #tadepe",FALSE,0,,2018-12-17T16:21:15Z,FALSE,,1074701065847783425,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Monte do Carmo - TO ,
"Veja a resposta que a Prefeitura Municipal de Silvânia - GO deu ao alerta da obra ""700036 - Esc. Educ. Infantil   T… https://t.co/SC8IcTcew4",FALSE,0,,2018-12-17T16:03:19Z,TRUE,,1074696550234767363,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Silvânia - GO ,
"Veja a resposta que a Prefeitura Municipal de Xique-Xique - BA deu ao alerta da obra ""ESCOLA FRANCISCO ANTONIO DOS… https://t.co/4pVKj6LG29",FALSE,0,,2018-12-17T16:00:34Z,TRUE,,1074695859252748290,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Xique-Xique - BA ,
