cidade,regiao,usuarios,novos_usuarios,sessoes,visualizacoes_de_tela,telas_sessao,duracao_media_da_sessao
Toronto,Ontario,1,1,1,2,"2,00",00:01:07
Frankfurt,Hesse,1,0,1,0,"0,00",00:00:00
Wiesbaden,Hesse,1,1,4,0,"0,00",00:00:00
Madrid,Madrid,1,0,1,0,"0,00",00:00:00
Paris,Ile-de-France,1,0,1,2,"2,00",00:00:02
Hong Kong,(not set),1,1,1,1,"1,00",00:00:00
Jakarta,Jakarta,1,1,1,4,"4,00",00:01:48
Cork,County Cork,1,1,1,2,"2,00",00:00:31
Reykjavik,Capital Region,1,0,1,6,"6,00",00:01:24
Rome,Lazio,1,0,1,1,"1,00",00:00:00
Washington,District of Columbia,1,0,2,6,"3,00",00:00:09
Pensacola,Florida,1,1,1,1,"1,00",00:00:00
Des Moines,Iowa,1,1,1,0,"0,00",00:00:00
Trenton,Illinois,1,1,1,1,"1,00",00:00:00
Rockwood,Michigan,1,1,1,0,"0,00",00:00:00
Clifton,New Jersey,1,1,1,1,"1,00",00:00:00
North Bergen,New Jersey,1,1,1,1,"1,00",00:00:00
Afonso Claudio,State of Espirito Santo,1,1,1,1,"1,00",00:00:00
Aguai,State of Sao Paulo,1,1,1,7,"7,00",00:00:47
Alagoa Grande,State of Paraiba,1,1,1,3,"3,00",00:00:57
Amparo,State of Sao Paulo,1,1,1,2,"2,00",00:00:23
Americo Brasiliense,State of Sao Paulo,1,1,1,1,"1,00",00:00:00
Anchieta,State of Espirito Santo,1,1,1,2,"2,00",00:00:19
Andira,State of Parana,1,1,1,2,"2,00",00:01:00
Aparecida,State of Sao Paulo,1,1,1,13,"13,00",00:01:36
Aracruz,State of Espirito Santo,1,1,1,5,"5,00",00:00:33
Araguari,State of Minas Gerais,1,1,1,1,"1,00",00:00:02
Ariquemes,State of Rondonia,1,1,1,3,"3,00",00:01:33
Arraial do Cabo,State of Rio de Janeiro,1,0,1,1,"1,00",00:00:00
Arroio dos Ratos,State of Rio Grande do Sul,1,1,1,0,"0,00",00:00:00
Aruja,State of Sao Paulo,1,1,1,3,"3,00",00:01:13
Assai,State of Parana,1,1,1,2,"2,00",00:01:45
Assis Chateaubriand,State of Parana,1,0,1,3,"3,00",00:10:03
Astorga,State of Parana,1,1,1,0,"0,00",00:21:53
Barra Bonita,State of Sao Paulo,1,0,2,10,"5,00",00:01:47
Barra de Sao Francisco,State of Espirito Santo,1,1,2,7,"3,50",00:06:38
Barra do Garcas,State of Mato Grosso,1,1,1,0,"0,00",00:05:58
Bayeux,State of Paraiba,1,1,1,13,"13,00",00:03:30
Biguacu,State of Santa Catarina,1,1,1,6,"6,00",00:02:13
Bom Despacho,State of Minas Gerais,1,1,1,0,"0,00",00:00:00
Brotas,State of Sao Paulo,1,1,2,5,"2,50",00:00:21
