cidade,regiao,usuarios,novos_usuarios,sessoes,visualizacoes_de_tela,telas_sessao,duracao_media_da_sessao
Taquaritinga,State of Sao Paulo,1,1,1,2,"2,00",00:00:42
Pirassununga,State of Sao Paulo,1,1,1,6,"6,00",00:02:48
Matozinhos,State of Minas Gerais,1,1,1,2,"2,00",00:00:28
Horizonte,State of Ceara,1,1,2,6,"3,00",00:00:44
Rio Largo,State of Alagoas,1,0,1,2,"2,00",00:00:01
Mandaguari,State of Parana,1,1,1,1,"1,00",00:00:00
Aracruz,State of Espirito Santo,1,1,1,0,"0,00",00:07:54
Ibiuna,State of Sao Paulo,1,1,1,0,"0,00",00:00:00
Tres Coracoes,State of Minas Gerais,1,1,1,3,"3,00",00:01:57
Jacarei,State of Sao Paulo,1,0,1,10,"10,00",00:02:30
Pindamonhangaba,State of Sao Paulo,1,1,1,0,"0,00",00:00:00
Capivari,State of Sao Paulo,1,1,1,2,"2,00",00:00:21
Extrema,State of Minas Gerais,1,1,1,1,"1,00",00:00:00
Sao Francisco do Sul,State of Santa Catarina,1,1,1,0,"0,00",00:00:00
Paranagua,State of Parana,1,1,2,5,"2,50",00:00:20
Monte Mor,State of Sao Paulo,1,1,2,5,"2,50",00:06:49
Morrinhos,State of Goias,1,1,1,1,"1,00",00:00:01
Sao Jose da Lapa,State of Minas Gerais,1,1,1,1,"1,00",00:00:00
Trindade,State of Goias,1,1,2,0,"0,00",00:01:13
Cosmopolis,State of Sao Paulo,1,1,1,3,"3,00",00:00:49
Novo Gama,State of Goias,1,1,1,3,"3,00",00:00:45
Paraguacu Paulista,State of Sao Paulo,1,1,2,4,"2,00",00:00:27
Santo Antonio do Descoberto,State of Goias,1,1,4,14,"3,50",00:01:05
Mamanguape,State of Paraiba,1,1,1,0,"0,00",00:00:00
Porto Feliz,State of Sao Paulo,1,0,2,5,"2,50",00:00:21
Mococa,State of Sao Paulo,1,0,2,2,"1,00",00:00:01
Ibitinga,State of Sao Paulo,1,1,1,2,"2,00",00:00:21
Vinhedo,State of Sao Paulo,1,0,1,1,"1,00",00:00:09
Piedade,State of Sao Paulo,1,1,1,1,"1,00",00:00:00
Boituva,State of Sao Paulo,1,1,1,2,"2,00",00:00:11
Pontal do Parana,State of Parana,1,1,1,0,"0,00",00:00:00
Santa Cruz do Rio Pardo,State of Sao Paulo,1,1,1,3,"3,00",00:01:31
Sao Goncalo do Amarante,State of Rio Grande do Norte,1,1,1,7,"7,00",00:01:33
Araguari,State of Minas Gerais,1,1,1,2,"2,00",00:00:24
Itaguai,State of Rio de Janeiro,1,1,1,12,"12,00",00:01:38
Candeias,State of Bahia,1,1,2,0,"0,00",00:00:00
Bayeux,State of Paraiba,1,1,1,2,"2,00",00:00:24
Salgueiro,State of Pernambuco,1,1,1,9,"9,00",00:03:07
Cidade Ocidental,State of Goias,1,1,1,2,"2,00",00:01:12
Xangri-la,State of Rio Grande do Sul,1,1,1,4,"4,00",00:16:14
Ibipora,State of Parana,1,1,1,0,"0,00",00:00:00
Amargosa,State of Bahia,1,1,1,0,"0,00",00:01:13
Resende,State of Rio de Janeiro,1,1,1,0,"0,00",00:00:00
Jacupiranga,State of Sao Paulo,1,1,7,7,"1,00",00:00:00
Miracatu,State of Sao Paulo,1,0,2,2,"1,00",00:00:00
Caratinga,State of Minas Gerais,1,1,1,1,"1,00",00:00:00
